"ID","NAME","POSITION1","POSITION2","PLAYER_TYPE","BID_VALUE","BID_YEARS","HAS_TO","BID_START_DATE","BID_WINNER","NBA_ID"
"1","A.J. Green","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631260"
"2","AJ Griffin","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631100"
"3","Aaron Gordon","F",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"203932"
"4","Aaron Holiday","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628988"
"5","Aaron Nesmith","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1630174"
"6","Aaron Wiggins","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630598"
"7","Admiral Schofield","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629678"
"8","Al Horford","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"201143"
"9","Alec Burks","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202692"
"10","Alekesej Pokusevski","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630197"
"11","Alex Caruso","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627936"
"12","Alex Len","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203458"
"13","Alondes Williams","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631214"
"14","Alperen Sengun","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630578"
"15","Amir Coffey","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629599"
"16","Andre Drummond","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203083"
"17","Andre Iguodala","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"2738"
"18","Andrew Nembhard","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629614"
"19","Andrew Wiggins","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203952"
"20","Anfernee Simons","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629014"
"21","Anthony Davis","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"203076"
"22","Anthony Edwards","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630162"
"23","Anthony Gill","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630264"
"24","Anthony Lamb","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630237"
"25","Armoni Brooks","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629717"
"26","Arnoldas Kulboka","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629083"
"27","Austin Reaves","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630559"
"28","Austin Rivers","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203085"
"29","Avery Bradley","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202340"
"30","Ayo Dosunmu","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630245"
"31","Bam Adebayo","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1628389"
"32","Ben McLemore","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203463"
"33","Ben Simmons","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1627732"
"34","Bennedict Mathurin","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1631097"
"35","Bismack Biyombo","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202687"
"36","Blake Griffin","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201933"
"37","Blake Wesley","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631104"
"38","Boban Marjanovic","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626246"
"39","Bobby Portis","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626171"
"40","Bogdan Bogdanovic","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203992"
"41","Bojan Bogdanovic","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202711"
"42","Bol Bol","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629626"
"43","Bones Hyland","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630538"
"44","Bradley Beal","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203078"
"45","Brandon Boston","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630527"
"46","Brandon Clarke","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629634"
"47","Brandon Goodwin","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629164"
